timestamp,round,accuracy,precision,recall,f1_score,loss,num_clients
2026-03-22T10:37:57.544992,1,1.0,1.0,1.0,1.0,0.0336,5
2026-03-22T10:38:04.384215,2,1.0,1.0,1.0,1.0,0.0006,5
2026-03-22T10:38:10.582697,3,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:16.565475,4,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:21.997024,5,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:29.381765,6,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:35.596497,7,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:42.017331,8,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:48.210518,9,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:38:54.231820,10,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:01.083840,11,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:07.538284,12,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:13.640964,13,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:19.494465,14,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:25.663590,15,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:32.340919,16,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:38.392068,17,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:44.527635,18,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:50.569272,19,1.0,1.0,1.0,1.0,0.0,5
2026-03-22T10:39:57.018119,20,1.0,1.0,1.0,1.0,0.0,5
