timestamp,round,client_id,num_samples,local_accuracy,local_loss,training_time_s
2026-03-22T12:52:54.013434,1,0,500,1.0,0.0839,0.839
2026-03-22T12:52:57.528427,1,4,500,1.0,0.0886,3.505
2026-03-22T12:52:58.285180,1,2,500,1.0,0.0867,0.746
2026-03-22T12:52:59.128337,2,2,500,1.0,0.0025,0.792
2026-03-22T12:52:59.891625,2,1,500,1.0,0.0027,0.753
2026-03-22T12:53:00.654688,2,0,500,1.0,0.0023,0.753
2026-03-22T12:53:01.496027,3,1,500,1.0,0.0001,0.793
2026-03-22T12:53:02.340841,3,0,500,1.0,0.0003,0.835
2026-03-22T12:53:03.092068,3,2,500,1.0,0.0001,0.741
2026-03-22T12:53:03.892645,4,4,500,1.0,0.0,0.756
2026-03-22T12:53:04.646737,4,0,500,1.0,0.0,0.744
2026-03-22T12:53:05.412312,4,2,500,1.0,0.0,0.755
2026-03-22T12:53:06.229731,5,3,500,1.0,0.0,0.768
2026-03-22T12:53:07.015481,5,0,500,1.0,0.0,0.777
2026-03-22T12:53:07.864310,5,4,500,1.0,0.0,0.839
2026-03-22T12:53:08.675565,6,0,500,1.0,0.0,0.766
2026-03-22T12:53:09.433924,6,1,500,1.0,0.0,0.748
2026-03-22T12:53:10.185373,6,4,500,1.0,0.0,0.741
2026-03-22T12:53:10.976768,7,4,500,1.0,0.0,0.744
2026-03-22T12:53:11.742412,7,0,500,1.0,0.0,0.756
2026-03-22T12:53:12.552729,7,2,500,1.0,0.0,0.8
2026-03-22T12:53:13.435032,8,1,500,1.0,0.0,0.832
2026-03-22T12:53:14.167407,8,3,500,1.0,0.0,0.722
2026-03-22T12:53:14.940598,8,0,500,1.0,0.0,0.76
2026-03-22T12:53:15.752256,9,3,500,1.0,0.0,0.764
2026-03-22T12:53:16.499844,9,2,500,1.0,0.0,0.738
2026-03-22T12:53:17.263953,9,0,500,1.0,0.0,0.753
2026-03-22T12:53:18.100307,10,1,500,1.0,0.0,0.785
2026-03-22T12:53:19.001671,10,3,500,1.0,0.0,0.89
2026-03-22T12:53:19.734617,10,4,500,1.0,0.0,0.725
